Verb Conjugation A1 Italian (Drill)
я устал (essere stanco);Io sono stanco.
мы бы открыли секрет (scoprire il segreto);Noi scopriremmo il segreto.
вы бы открыли секрет (scoprire il segreto);Voi scoprireste il segreto.
они бы открыли секрет (scoprire il segreto);Loro scoprirebbero il segreto.
я бы открыл правду (scoprire la verità);Io avrei scoperto la verità.
ты бы открыл правду (scoprire la verità);Tu avresti scoperto la verità.
он бы открыл правду (scoprire la verità);Lui avrebbe scoperto la verità.
она бы открыла правду (scoprire la verità);Lei avrebbe scoperto la verità.
мы бы открыли правду (scoprire la verità);Noi avremmo scoperto la verità.
вы бы открыли правду (scoprire la verità);Voi avreste scoperto la verità.
они бы открыли правду (scoprire la verità);Loro avrebbero scoperto la verità.
он хочет, чтобы я узнал секрет (scoprire il segreto);Lui vuole che io scopra il segreto.
она хочет, чтобы ты узнал секрет (scoprire il segreto);Lei vuole che tu scopra il segreto.
я думаю, что он узнает секрет (scoprire il segreto);Io penso che lui scopra il segreto.
мы верим, что она узнает секрет (scoprire il segreto);Noi crediamo che lei scopra il segreto.
я надеюсь, что мы узнаем секрет (scoprire il segreto);Io spero che noi scopriamo il segreto.
он верит, что вы узнаете секрет (scoprire il segreto);Lui crede che voi scopriate il segreto.
я думаю, что они узнают секрет (scoprire il segreto);Io penso che loro scoprano il segreto.
он хотел, чтобы я раскрыл секрет (scoprire il segreto);Lui voleva che io scoprissi il segreto.
она надеялась, что ты раскроешь секрет (scoprire il segreto);Lei sperava che tu scoprissi il segreto.
я думал, что он раскроет секрет (scoprire il segreto);Io pensavo che lui scoprisse il segreto.
мы верили, что она раскроет секрет (scoprire il segreto);Noi credevamo che lei scoprisse il segreto.
они боялись, что мы раскроем секрет (scoprire il segreto);Loro temevano che noi scoprissimo il segreto.
я хотел, чтобы вы раскрыли секрет (scoprire il segreto);Io volevo che voi scopriste il segreto.
он думал, что они раскроют секрет (scoprire il segreto);Lui pensava che loro scoprissero il segreto.
он думает, что я уже узнал правду (scoprire la verità);Lui pensa che io abbia scoperto la verità.
она надеется, что ты уже узнал правду (scoprire la verità);Lei spera che tu abbia scoperto la verità.
я верю, что он уже узнал правду (scoprire la verità);Io credo che lui abbia scoperto la verità.
мы сомневаемся, что она уже узнала правду (scoprire la verità);Noi dubitiamo che lei abbia scoperto la verità.
ты думаешь, что мы уже узнали правду (scoprire la verità);Tu pensi che noi abbiamo scoperto la verità.
я полагаю, что вы уже узнали правду (scoprire la verità);Io suppongo che voi abbiate scoperto la verità.
он верит, что они уже узнали правду (scoprire la verità);Lui crede che loro abbiano scoperto la verità.
я решаю, что делать (cosa fare);Io decido cosa fare.
ты решаешь, что делать (cosa fare);Tu decidi cosa fare.
он решает, что делать (cosa fare);Lui decide cosa fare.
она решает, что делать (cosa fare);Lei decide cosa fare.
мы решаем, что делать (cosa fare);Noi decidiamo cosa fare.
вы решаете, что делать (cosa fare);Voi decidete cosa fare.
они решают, что делать (cosa fare);Loro decidono cosa fare.
я решал, что делать (decidere cosa fare);Io decidevo cosa fare.
ты решал, что делать (decidere cosa fare);Tu decidevi cosa fare.
он решал, что делать (decidere cosa fare);Lui decideva cosa fare.
она решала, что делать (decidere cosa fare);Lei decideva cosa fare.
мы решали, что делать (decidere cosa fare);Noi decidevamo cosa fare.
вы решали, что делать (decidere cosa fare);Voi decidevate cosa fare.
они решали, что делать (decidere cosa fare);Loro decidevano cosa fare.
я решил, что делать (decidere cosa fare);Io decisi cosa fare.
ты решил, что делать (decidere cosa fare);Tu decidesti cosa fare.
он решил, что делать (decidere cosa fare);Lui decise cosa fare.
она решила, что делать (decidere cosa fare);Lei decise cosa fare.
мы решили, что делать (decidere cosa fare);Noi decidemmo cosa fare.
вы решили, что делать (decidere cosa fare);Voi decideste cosa fare.
они решили, что делать (decidere cosa fare);Loro decisero cosa fare.
я решил, что делать (decidere cosa fare);Io ho deciso cosa fare.
ты решил, что делать (decidere cosa fare);Tu hai deciso cosa fare.
он решил, что делать (decidere cosa fare);Lui ha deciso cosa fare.
она решила, что делать (decidere cosa fare);Lei ha deciso cosa fare.
мы решили, что делать (decidere cosa fare);Noi abbiamo deciso cosa fare.
вы решили, что делать (decidere cosa fare);Voi avete deciso cosa fare.
они решили, что делать (decidere cosa fare);Loro hanno deciso cosa fare.
я уже решил, что делать (cosa fare);Io avevo deciso cosa fare.
ты уже решил, что делать (cosa fare);Tu avevi deciso cosa fare.
он уже решил, что делать (cosa fare);Lui aveva deciso cosa fare.
